No,drawtime,returntime,from,to,min,distance
SPB-01857,2019-05-01 0:01,2019-05-01 0:03,1908,1957,2,480
SPB-18298,2019-05-01 0:03,2019-05-01 0:04,241,255,0,290
SPB-12844,2019-05-01 0:00,2019-05-01 0:04,1224,1249,4,960
SPB-15490,2019-05-01 0:01,2019-05-01 0:04,521,520,2,0
SPB-18475,2019-05-01 0:01,2019-05-01 0:04,364,361,3,730
SPB-11204,2019-05-01 0:01,2019-05-01 0:04,1983,1920,3,170
SPB-15403,2019-05-01 0:02,2019-05-01 0:05,2235,2280,2,740
SPB-07321,2019-05-01 0:01,2019-05-01 0:05,1454,1407,3,490
SPB-16110,2019-05-01 0:03,2019-05-01 0:05,962,954,2,510
SPB-05703,2019-05-01 0:02,2019-05-01 0:06,1454,1407,2,480
SPB-06616,2019-05-01 0:00,2019-05-01 0:06,276,257,6,980
SPB-19542,2019-05-01 0:03,2019-05-01 0:06,251,252,3,590
SPB-09941,2019-05-01 0:03,2019-05-01 0:06,512,561,3,500
SPB-15762,2019-05-01 0:04,2019-05-01 0:06,126,125,1,440
SPB-09466,2019-05-01 0:03,2019-05-01 0:07,258,274,3,660
SPB-14221,2019-05-01 0:04,2019-05-01 0:07,106,106,2,100
SPB-01402,2019-05-01 0:01,2019-05-01 0:07,3506,585,5,670
SPB-05458,2019-05-01 0:02,2019-05-01 0:07,316,306,4,540
SPB-02631,2019-05-01 0:02,2019-05-01 0:07,247,280,4,980
SPB-16482,2019-05-01 0:00,2019-05-01 0:07,1337,1338,6,770
SPB-00371,2019-05-01 0:02,2019-05-01 0:07,224,259,5,1030
SPB-07729,2019-05-01 0:04,2019-05-01 0:07,358,356,3,820
SPB-16212,2019-05-01 0:04,2019-05-01 0:07,623,622,2,820
SPB-04468,2019-05-01 0:05,2019-05-01 0:07,303,301,1,570
SPB-06661,2019-05-01 0:05,2019-05-01 0:07,1135,1132,1,520
SPB-19048,2019-05-01 0:05,2019-05-01 0:07,221,207,2,750
SPB-18572,2019-05-01 0:04,2019-05-01 0:08,2359,2294,3,470
