"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"1",0,14,24,28,28,28,32,24,24,28,24,18,24,28,22,28,62,50,48,52,54,50,46,56,48,30,56,34,32,28,66,64,64,56,58,62,62,48,40,36,28,26,36,38,42,48,40,56,56,56,60,58,62
"2",14,0,14,18,22,22,38,34,30,26,34,16,26,30,16,18,60,44,38,38,44,48,32,42,34,16,42,24,26,22,56,62,50,42,44,48,56,34,26,30,34,28,26,24,40,42,34,50,42,42,46,48,52
"3",24,14,0,12,16,12,40,36,28,28,32,30,28,36,26,8,50,34,24,28,30,38,30,32,24,14,32,22,24,28,46,48,40,32,34,38,42,24,16,24,32,26,24,22,42,32,28,36,32,32,36,38,38
"4",28,18,12,0,20,12,32,32,24,16,24,26,20,28,22,12,54,34,28,32,34,42,30,32,24,22,32,18,20,24,50,52,40,32,34,38,46,24,16,16,28,26,20,22,38,36,32,40,32,32,36,38,42
"5",28,22,16,20,0,16,44,44,36,36,40,30,40,40,38,12,58,30,32,32,38,50,34,36,28,18,36,26,28,32,50,56,44,36,38,42,50,32,24,28,36,34,28,26,46,40,40,44,36,36,40,42,42
"6",28,22,12,12,16,0,36,40,32,24,32,30,28,36,30,4,54,26,28,24,30,38,26,28,20,10,28,18,20,24,42,48,36,28,34,34,42,20,12,16,32,26,24,18,46,36,28,36,32,28,32,34,38
"7",32,38,40,32,44,36,0,28,20,20,20,26,24,16,26,40,62,54,48,56,50,42,46,56,48,46,56,38,28,36,74,64,64,60,62,66,62,44,44,24,32,26,28,34,38,40,48,56,60,60,64,50,62
"8",24,34,36,32,44,40,28,0,20,28,28,26,24,24,30,40,62,54,52,56,50,46,50,60,52,46,56,42,32,36,62,60,60,56,62,62,58,52,48,32,28,30,40,42,34,48,48,56,60,60,60,54,58
"9",24,30,28,24,36,32,20,20,0,12,12,14,20,12,22,36,58,54,44,52,50,46,42,52,44,38,52,26,16,20,70,64,60,52,54,58,62,44,36,24,24,26,28,34,38,40,40,56,52,52,56,54,58
"10",28,26,28,16,36,24,20,28,12,0,16,18,12,16,18,28,50,42,36,44,42,42,30,44,32,30,44,22,16,20,62,56,52,44,46,50,58,36,28,20,24,26,24,30,30,32,32,52,44,44,48,42,54
"11",24,34,32,24,40,32,20,28,12,16,0,26,16,20,26,36,54,50,44,48,46,38,42,52,44,38,52,26,24,20,66,56,60,52,54,58,54,40,36,28,24,30,32,38,38,40,36,48,52,52,56,46,58
"12",18,16,30,26,30,30,26,26,14,18,26,0,22,14,12,34,56,48,42,46,48,44,36,46,38,28,46,24,18,18,64,62,54,46,48,52,60,38,30,26,22,20,22,24,32,38,38,54,46,46,50,48,56
"13",24,26,28,20,40,28,24,24,20,12,16,22,0,20,18,32,46,34,28,44,34,34,26,40,28,30,40,26,24,20,54,44,48,44,46,50,46,32,28,24,12,26,24,30,26,28,24,40,44,44,48,38,46
"14",28,30,36,28,40,36,16,24,12,16,20,14,20,0,18,40,54,54,44,52,50,42,42,52,44,38,48,26,20,24,66,64,56,48,50,54,58,40,36,24,24,18,24,26,34,36,36,52,48,48,52,54,54
"15",22,16,26,22,38,30,26,30,22,18,26,12,18,18,0,30,52,40,34,38,40,40,28,38,30,28,38,20,26,14,56,54,46,38,40,44,52,30,22,22,26,20,14,16,36,38,30,46,38,38,42,44,48
"16",28,18,8,12,12,4,40,40,36,28,36,34,32,40,30,0,54,26,28,24,30,38,26,28,20,10,28,18,24,24,42,48,36,28,34,34,42,20,12,20,36,30,24,18,42,36,28,36,32,28,32,34,38
"17",62,60,50,54,58,54,62,62,58,50,54,56,46,54,52,54,0,32,30,30,32,24,36,30,38,48,42,52,58,54,40,38,42,42,36,40,40,38,42,58,42,52,50,48,32,26,30,42,42,38,42,28,24
"18",50,44,34,34,30,26,54,54,54,42,50,48,34,54,40,26,32,0,14,18,16,28,20,18,10,28,26,28,42,34,32,38,30,34,36,36,36,26,22,38,30,44,34,28,40,30,26,34,38,34,38,12,20
"19",48,38,24,28,32,28,48,52,44,36,44,42,28,44,34,28,30,14,0,16,10,22,14,20,12,26,28,26,36,32,38,40,36,36,34,42,42,20,20,36,24,34,28,26,34,24,24,36,32,36,40,14,18
"20",52,38,28,32,32,24,56,56,52,44,48,46,44,52,38,24,30,18,16,0,18,22,22,16,20,22,28,26,36,32,38,48,36,32,34,38,46,20,20,36,40,38,32,26,46,36,32,40,32,32,36,18,18
"21",54,44,30,34,38,30,50,50,50,42,46,48,34,50,40,30,32,16,10,18,0,24,12,26,14,32,30,28,42,34,40,34,34,34,36,40,40,18,18,38,30,40,34,28,40,34,26,38,38,34,38,16,24
"22",50,48,38,42,50,38,42,46,46,42,38,44,34,42,40,38,24,28,22,22,24,0,28,30,30,36,38,36,46,38,48,46,46,42,48,48,40,22,30,46,30,44,42,36,32,22,26,34,42,42,46,16,24
"23",46,32,30,30,34,26,46,50,42,30,42,36,26,42,28,26,36,20,14,22,12,28,0,26,14,24,30,20,34,22,44,42,38,34,40,40,44,14,14,30,26,36,26,20,36,30,18,38,34,34,38,20,28
"24",56,42,32,32,36,28,56,60,52,44,52,46,40,52,38,28,30,18,20,16,26,30,26,0,16,26,16,26,40,32,26,32,20,20,22,26,30,24,20,36,36,42,32,26,46,28,28,24,24,20,24,26,18
"25",48,34,24,24,28,20,48,52,44,32,44,38,28,44,30,20,38,10,12,20,14,30,14,16,0,22,20,18,32,24,30,36,24,28,30,30,34,16,12,28,28,34,24,18,38,32,24,32,32,28,32,14,22
"26",30,16,14,22,18,10,46,46,38,30,38,28,30,38,28,10,48,28,26,22,32,36,24,26,22,0,30,20,26,22,40,50,38,30,36,36,44,22,14,22,34,28,22,16,44,34,26,38,34,30,34,32,36
"27",56,42,32,32,36,28,56,56,52,44,52,46,40,48,38,28,42,26,28,28,30,38,30,16,20,30,0,26,40,32,18,20,8,12,14,14,18,20,20,36,40,42,32,26,42,32,28,12,12,12,12,34,26
"28",34,24,22,18,26,18,38,42,26,22,26,24,26,26,20,18,52,28,26,26,28,36,20,26,18,20,26,0,14,6,44,46,34,26,32,32,40,18,10,26,26,24,22,16,40,34,22,34,30,26,30,32,36
"29",32,26,24,20,28,20,28,32,16,16,24,18,24,20,26,24,58,42,36,36,42,46,34,40,32,26,40,14,0,16,54,56,48,40,42,46,54,32,24,24,24,18,24,26,34,36,36,48,40,40,44,42,50
"30",28,22,28,24,32,24,36,36,20,20,20,18,20,24,14,24,54,34,32,32,34,38,22,32,24,22,32,6,16,0,50,48,40,32,38,38,46,24,16,24,20,22,20,18,38,40,24,40,36,32,36,38,42
"31",66,56,46,50,50,42,74,62,70,62,66,64,54,66,56,42,40,32,38,38,40,48,44,26,30,40,18,44,54,50,0,18,10,18,16,12,12,38,38,54,54,56,50,44,52,42,38,18,22,18,14,36,28
"32",64,62,48,52,56,48,64,60,64,56,56,62,44,64,54,48,38,38,40,48,34,46,42,32,36,50,20,46,56,48,18,0,16,20,18,18,10,40,36,52,44,54,48,46,42,36,32,12,24,20,16,42,38
"33",64,50,40,40,44,36,64,60,60,52,60,54,48,56,46,36,42,30,36,36,34,46,38,20,24,38,8,34,48,40,10,16,0,8,10,6,10,28,28,44,48,50,40,34,46,36,32,12,12,12,8,38,30
"34",56,42,32,32,36,28,60,56,52,44,52,46,44,48,38,28,42,34,36,32,34,42,34,20,28,30,12,26,40,32,18,20,8,0,6,6,14,24,20,36,44,42,32,26,46,32,24,12,8,4,4,42,30
"35",58,44,34,34,38,34,62,62,54,46,54,48,46,50,40,34,36,36,34,34,36,48,40,22,30,36,14,32,42,38,16,18,10,6,0,8,16,30,26,42,46,44,34,32,44,34,30,18,10,6,6,44,32
"36",62,48,38,38,42,34,66,62,58,50,58,52,50,54,44,34,40,36,42,38,40,48,40,26,30,36,14,32,46,38,12,18,6,6,8,0,8,30,26,42,50,48,38,32,52,38,30,14,10,6,2,44,28
"37",62,56,42,46,50,42,62,58,62,58,54,60,46,58,52,42,40,36,42,46,40,40,44,30,34,44,18,40,54,46,12,10,10,14,16,8,0,34,34,50,46,52,46,40,48,34,30,6,18,14,10,40,28
"38",48,34,24,24,32,20,44,52,44,36,40,38,32,40,30,20,38,26,20,20,18,22,14,24,16,22,20,18,32,24,38,40,28,24,30,30,34,0,8,28,32,34,24,18,38,32,24,28,24,24,28,22,26
"39",40,26,16,16,24,12,44,48,36,28,36,30,28,36,22,12,42,22,20,20,18,30,14,20,12,14,20,10,24,16,38,36,28,20,26,26,34,8,0,20,28,26,16,10,42,32,20,28,24,20,24,26,30
"40",36,30,24,16,28,16,24,32,24,20,28,26,24,24,22,20,58,38,36,36,38,46,30,36,28,22,36,26,24,24,54,52,44,36,42,42,50,28,20,0,28,18,8,10,42,44,32,44,40,36,40,42,46
"41",28,34,32,28,36,32,32,28,24,24,24,22,12,24,26,36,42,30,24,40,30,30,26,36,28,34,40,26,24,20,54,44,48,44,46,50,46,32,28,28,0,18,24,26,30,32,24,40,44,44,48,34,42
"42",26,28,26,26,34,26,26,30,26,26,30,20,26,18,20,30,52,44,34,38,40,44,36,42,34,28,42,24,18,22,56,54,50,42,44,48,52,34,26,18,18,0,14,16,40,42,34,46,42,42,46,44,48
"43",36,26,24,20,28,24,28,40,28,24,32,22,24,24,14,24,50,34,28,32,34,42,26,32,24,22,32,22,24,20,50,48,40,32,34,38,46,24,16,8,24,14,0,6,38,40,28,40,32,32,36,38,42
"44",38,24,22,22,26,18,34,42,34,30,38,24,30,26,16,18,48,28,26,26,28,36,20,26,18,16,26,16,26,18,44,46,34,26,32,32,40,18,10,10,26,16,6,0,40,38,22,34,30,26,30,32,36
"45",42,40,42,38,46,46,38,34,38,30,38,32,26,34,36,42,32,40,34,46,40,32,36,46,38,44,42,40,34,38,52,42,46,46,44,52,48,38,42,42,30,40,38,40,0,22,26,42,46,46,50,32,48
"46",48,42,32,36,40,36,40,48,40,32,40,38,28,36,38,36,26,30,24,36,34,22,30,28,32,34,32,34,36,40,42,36,36,32,34,38,34,32,32,44,32,42,40,38,22,0,16,28,36,32,36,30,34
"47",40,34,28,32,40,28,48,48,40,32,36,38,24,36,30,28,30,26,24,32,26,26,18,28,24,26,28,22,36,24,38,32,32,24,30,30,30,24,20,32,24,34,28,22,26,16,0,24,32,24,28,30,34
"48",56,50,36,40,44,36,56,56,56,52,48,54,40,52,46,36,42,34,36,40,38,34,38,24,32,38,12,34,48,40,18,12,12,12,18,14,6,28,28,44,40,46,40,34,42,28,24,0,12,16,12,38,30
"49",56,42,32,32,36,32,60,60,52,44,52,46,44,48,38,32,42,38,32,32,38,42,34,24,32,34,12,30,40,36,22,24,12,8,10,10,18,24,24,40,44,42,32,30,46,36,32,12,0,12,8,42,30
"50",56,42,32,32,36,28,60,60,52,44,52,46,44,48,38,28,38,34,36,32,34,42,34,20,28,30,12,26,40,32,18,20,12,4,6,6,14,24,20,36,44,42,32,26,46,32,24,16,12,0,4,42,30
"51",60,46,36,36,40,32,64,60,56,48,56,50,48,52,42,32,42,38,40,36,38,46,38,24,32,34,12,30,44,36,14,16,8,4,6,2,10,28,24,40,48,46,36,30,50,36,28,12,8,4,0,46,30
"52",58,48,38,38,42,34,50,54,54,42,46,48,38,54,44,34,28,12,14,18,16,16,20,26,14,32,34,32,42,38,36,42,38,42,44,44,40,22,26,42,34,44,38,32,32,30,30,38,42,42,46,0,24
"53",62,52,38,42,42,38,62,58,58,54,58,56,46,54,48,38,24,20,18,18,24,24,28,18,22,36,26,36,50,42,28,38,30,30,32,28,28,26,30,46,42,48,42,36,48,34,34,30,30,30,30,24,0
